Entidad,Acumulado,Tasa (100k/hab)
Aguascalientes,15391,1080
Baja California,93810,2489
Baja California Sur,20415,2557
Campeche,4243,457
Chiapas,28902,521
Chihuahua,106851,2856
Ciudad de México,227557,2471
Coahuila de Zaragoza,82031,2607
Colima,25246,3452
Durango,45610,2489
Guanajuato,100898,1636
Guerrero,25242,713
Hidalgo,44972,1459
Jalisco,101120,1211
México,121030,712
Michoacán de Ocampo,10032,211
Morelos,43286,2196
Nayarit,7986,646
Nuevo León,162227,2805
Oaxaca,46520,1126
Puebla,66083,1004
Querétaro,25107,1060
Quintana Roo,38640,2080
San Luis Potosí,59881,2122
Sinaloa,38989,1288
Sonora,38720,1315
Tabasco,57419,2390
Tamaulipas,59433,1685
Tlaxcala,583,43
Veracruz de Ignacio de la Llave,74468,924
Yucatán,12183,525
Zacatecas,21376,1318
